"","ensemble.id","human.disease"
"357","ENSP00000263253","Rubinstein-Taybi syndrome 2, 613684 (3)  "
"358","ENSP00000263274","DNA ligase I deficiency (3)  "
"359","ENSP00000263321","Albinism, oculocutaneous, type IA, 203100 (3)  "
"360","ENSP00000263321","Albinism, oculocutaneous, type IB, 606952 (3)  "
"361","ENSP00000263321","Albinism, oculocutaneous, type III, 203290 (3)  "
"362","ENSP00000263321","Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3)  "
"363","ENSP00000263321","Myopathy, lactic acidosis, and sideroblastic anemia 2, 613561 (3)  "
"364","ENSP00000263321","Nasu-Hakola disease, 221770 (3)  "
"365","ENSP00000263321","Waardenburg syndrome/albinism, digenic, 103470 (3)  "
"366","ENSP00000263321","[Skin/hair/eye pigmentation 3, freckling], 601800 (3)  "
"367","ENSP00000263321","{Melanoma, cutaneous malignant, susceptibility to, 8}, 601800 (3)  "
"368","ENSP00000263334","Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia, 218700 (3)  "
"369","ENSP00000263440","Congenital disorder of glycosylation, type Ic, 603147 (3)  "
"370","ENSP00000263578","Leigh syndrome, 256000 (3)  "
"371","ENSP00000263578","Mitochondrial complex 1 deficiency, 252010 (3)  "
"372","ENSP00000263686","Platelet alpha/delta storage pool deficiency (1)  "
"373","ENSP00000263686","{Atopy, susceptibility to}, 147050 (3)  "
"374","ENSP00000263774","Leigh syndrome, 256000 (3)  "
"375","ENSP00000263780","Amyotrophic lateral sclerosis, CHMP2B-related (3)  "
"376","ENSP00000263780","Dementia, familial, nonspecific, 600795 (3)  "
"377","ENSP00000263812","Hypomyelination, global cerebral, 612949 (3)  "
"378","ENSP00000263816","Donnai-Barrow syndrome, 222448 (3)  "
"379","ENSP00000263923","Hemangioma, capillary infantile, somatic, 602089 (3)  "
"380","ENSP00000263923","{Hemangioma, capillary infantile, susceptibility to}, 602089 (3)  "
"381","ENSP00000263967","Breast cancer, somatic, 114480 (3)  "
"382","ENSP00000263967","Colorectal cancer, somatic, 114500 (3)  "
"383","ENSP00000263967","Gastric cancer, somatic, 137215 (3)  "
"384","ENSP00000263967","Hepatocellular carcinoma, somatic, 114550 (3)  "
"385","ENSP00000263967","Keratosis, seborrheic, somatic, 182000 (3)  "
"386","ENSP00000263967","Nevus, epidermal, 162900 (3)  "
"387","ENSP00000263967","Nonsmall cell lung cancer, somatic, 211980 (3)  "
"388","ENSP00000263967","Ovarian cancer, somatic, 604370 (3)  "
"389","ENSP00000263991","{Prostate cancer, hereditary, 12}, 611868 (3)  "
"390","ENSP00000264029","Trehalase deficiency, 612119 (1)  "
"391","ENSP00000264106","Epidermolysis bullosa, junctional, with pyloric stenosis, 226730 (3)  "
"392","ENSP00000264156","Lactase persistance/nonpersistance, 223100 (3)  "
"393","ENSP00000264158","Martsolf syndrome, 212720 (3)  "
"394","ENSP00000264158","Warburg micro syndrome 1, 600118 (3)  "
"395","ENSP00000264161","Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105 (3)  "
"396","ENSP00000264167","Rhizomelic chondrodysplasia punctata, type 3, 600121 (3)  "
"397","ENSP00000264228","Congenital disorder of glycosylation, type Iq, 612379 (3)  "
"398","ENSP00000264263","Combined oxidative phosphorylation deficiency 1, 609060 (3)  "
"399","ENSP00000264380","Corneal fleck dystrophy, 121850 (3)  "
"400","ENSP00000264389","Microphthalmia, syndromic 4 (2) (?)  "
"401","ENSP00000264499","Bardet-Biedl syndrome 7, 209900 (3)  "
"402","ENSP00000264568","Brachydactyly, type A2, 112600 (3)  "
"403","ENSP00000264568","Chrondrodysplasia, acromesomelic, with genital anomalies, 609441 (3)  "
"404","ENSP00000264595","AGAT deficiency, 612718 (3)  "
"405","ENSP00000264595","Alopecia, androgenetic, 2 (2)  "
"406","ENSP00000264595","Alopecia, androgenetic, 3 (2)  "
"407","ENSP00000264595","Aspartylglucosaminuria, 208400 (3)  "
"408","ENSP00000264595","Kanzaki disease, 609242 (3)  "
"409","ENSP00000264595","Schindler disease, type I, 609241 (3)  "
"410","ENSP00000264595","Schindler disease, type III, 609241 (3)  "
"411","ENSP00000264606","Brachydacytly-mental retardation syndrome, 600430 (3)  "
"412","ENSP00000264663","Arthyrgryposis, distal, type 2B, 601680 (3)  "
"413","ENSP00000264663","Cardiomyopathy, dilated, 1D, 601494 (3)  "
"414","ENSP00000264663","Cardiomyopathy, familial hypertrophic, 2, 115195 (3)  "
"415","ENSP00000264663","Cardiomyopathy, familial restrictive, 3, 612422 (3)  "
"416","ENSP00000264663","Left ventricular noncompaction 6, 601494 (3)  "
"417","ENSP00000264663","Nemaline myopathy, Amish type, 605355 (3)  "
"418","ENSP00000264668","Homocystinuria-megaloblastic anemia, cbl E type, 236270 (3)  "
"419","ENSP00000264668","{Neural tube defects, folate-sensitive, susceptibility to}, 601634 (3)  "
"420","ENSP00000264705","2-methylbutyrylglycinuria, 610006 (3)  "
"421","ENSP00000264705","ACAD9 deficiency, 611126 (3)  "
"422","ENSP00000264705","Acyl-CoA dehydrogenase, long chain, deficiency of, 201460 (3)  "
"423","ENSP00000264705","Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)  "
"424","ENSP00000264705","Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3)  "
"425","ENSP00000264705","Breast cancer, lobular, 114480 (3)  "
"426","ENSP00000264705","Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy, 125310 (3)  "
"427","ENSP00000264705","Cone-rod dystrophy 15, 613660 (3)  "
"428","ENSP00000264705","Ectodermal dysplasia, ectrodactyly, and macular dystrophy, 225280 (3)  "
"429","ENSP00000264705","Endometrial carcinoma, somatic, 608089 (3)  "
"430","ENSP00000264705","Gastric cancer, familial diffuse, with or without cleft lip and/or palate, 137215 (3)  "
"431","ENSP00000264705","Hypotrichosis, congenital, with juvenile macular dystrophy, 601553 (3)  "
"432","ENSP00000264705","Isobutyryl-CoA dehydrogenase deficiency, 611283 (3)  "
"433","ENSP00000264705","Ovarian carcinoma, somatic, 167000 (3)  "
"434","ENSP00000264705","VLCAD deficiency, 201475 (3)  "
"435","ENSP00000264705","{Coronary artery disease, autosomal dominant, 1}, 608320 (3)  "
"436","ENSP00000264705","{Coronary artery disease, autosomal dominant, 2}, 610947 (3)  "
"437","ENSP00000264705","{Prostate cancer, susceptibility to}, 176807 (3)  "
"438","ENSP00000264758","Myxoid liposarcoma, 613488 (1)  "
"439","ENSP00000264758","{Hypertension, essential, salt-sensitive}, 145500 (3)  "
"440","ENSP00000264839","Cone-rod dystrophy 7, 603649 (3)  "
"441","ENSP00000264896","Action myoclonus-renal failure syndrome, 254900 (3)  "
"442","ENSP00000264932","Cardiomyopathy, dilated, 1GG, 613642 (3)  "
"443","ENSP00000264932","Leigh syndrome, 256000 (3)  "
"444","ENSP00000264932","Mitochondrial complex II deficiency, 252011 (3)  "
"445","ENSP00000264932","Mitochondrial respiratory chain complex II deficiency, 252011 (3)  "
"446","ENSP00000264932","Paragangliomas 2, 601650 (3)  "
"447","ENSP00000264938","Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287 (3)  "
"448","ENSP00000265335","Nijmegen breakage syndrome-like disorder, 613078 (3)  "
"449","ENSP00000265593","{Epilepsy, idiopathic generalized, susceptibility to, 11}, 607628 (3)  "
"450","ENSP00000265593","{Epilepsy, juvenile absence, susceptibility to, 2}, 607628 (3)  "
"451","ENSP00000265593","{Epilepsy, juvenile myoclonic, susceptibility to, 8}, 607628 (3)  "
"452","ENSP00000265594","3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)  "
"453","ENSP00000265641","CPT deficiency, hepatic, type IA, 255120 (3)  "
"454","ENSP00000265715","Enlarged vestibular aqueduct, 600791 (3)  "
"455","ENSP00000265715","Pendred syndrome, 274600 (3)  "
"456","ENSP00000265723","Cholestasis, familial intrahepatic, of pregnancy, 147480 (3)  "
"457","ENSP00000265723","Cholestasis, progressive familial intrahepatic 3, 602347 (3)  "
"458","ENSP00000265723","Gallbladder disease 1, 600803 (3)  "
"459","ENSP00000265724","Cholestasis, benign recurrent intrahepatic, 2, 605479 (3)  "
"460","ENSP00000265724","Cholestasis, progressive familial intrahepatic 2, 601847 (3)  "
"461","ENSP00000265724","Colchicine resistance (3)  "
"462","ENSP00000265724","{Inflammatory bowel disease 13}, 612244 (3)  "
"463","ENSP00000265838","Alpha-methylacetoacetic aciduria, 203750 (3)  "
"464","ENSP00000265849","Colorectal cancer, hereditary nonpolyposis, type 4 (3)  "
"465","ENSP00000265849","Mismatch repair cancer syndrome, 276300 (3)  "
"466","ENSP00000266126","Leukoencephalopathy with vanishing white matter, 603896 (3)  "
"467","ENSP00000266126","Ovarioleukodystrophy, 603896 (3)  "
"468","ENSP00000266483","{Acquired long QT syndrome, reduced susceptibility to}, 152427 (3)  "
"469","ENSP00000266839","Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type, 251110 (3)  "
"470","ENSP00000266991","46XY complete gonadal dysgenesis, 233420 (3)  "
"471","ENSP00000266991","46XY partial gonadal dysgenesis, with minifascicular neuropathy, 607080 (3)  "
"472","ENSP00000266991","Mental retardation, X-linked, ZDHHC9-related, 300799 (3)  "
"473","ENSP00000266991","Mental retardation, X-linked-91, 300577 (3)  "
"474","ENSP00000267436","L-2-hydroxyglutaric aciduria, 236792 (3)  "
"475","ENSP00000267502","Leber congenital amaurosis 13, 612712 (3)  "
"476","ENSP00000267814","Cataract, congenital (2) (?)  "
"477","ENSP00000267950","Glutaricaciduria, type IIA, 231680 (3)  "
"478","ENSP00000268035","Insulin-like growth factor I, resistance to, 270450 (3)  "
"479","ENSP00000268057","Bardet-Biedl syndrome 4, 209900 (3)  "
"480","ENSP00000268124","Mitochondrial DNA depletion syndrome 4A (Alpers type), 203700 (3)  "
"481","ENSP00000268124","Mitochondrial DNA depletion syndrome 4B (MNGIE type), 613662 (3)  "
"482","ENSP00000268124","Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE  "
"483","ENSP00000268124","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4, 610131 (3)  "
"484","ENSP00000268124","Progressive external ophthalmoplegia, autosomal dominant, 157640 (3)  "
"485","ENSP00000268124","Progressive external ophthalmoplegia, autosomal recessive, 258450 (3)  "
"486","ENSP00000268251","GABA-transaminase deficiency, 613163 (3)  "
"487","ENSP00000268261","Congenital disorder of glycosylation, type Ia, 212065 (3)  "
"488","ENSP00000268489","{Prostate cancer, susceptibility to}, 176807 (3)  "
"489","ENSP00000268704","Spastic paraplegia-7, 607259 (3)  "
"490","ENSP00000268717","Microphthalmia, syndromic 3, 206900 (3)  "
"491","ENSP00000268717","Optic nerve hypoplasia and abnormalities of the central nervous system, 206900 (3)  "
"492","ENSP00000269138","Sarcoma, synovial (1)  "
"493","ENSP00000269143","Spinocerebellar ataxia 28, 610246 (3)  "
"494","ENSP00000269228","Niemann-Pick disease, type C1, 257220 (3)  "
"495","ENSP00000269228","Niemann-Pick disease, type D, 257220 (3)  "
"496","ENSP00000269228","[Ezetimibe, nonresponse to] (3)  "
"497","ENSP00000269228","{Nasopharyngeal carcinoma 1} (2)  "
"498","ENSP00000269445","Dyggve-Melchior-Clausen disease, 223800 (3)  "
"499","ENSP00000269445","Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission (3)  "
"500","ENSP00000269445","Smith-McCort dysplasia, 607326 (3)  "
"501","ENSP00000269886","Leukemia, acute myeloid, 601626 (1)  "
"502","ENSP00000269980","Maple syrup urine disease, type Ia, 248600 (3)  "
"503","ENSP00000270142","Amyotrophic lateral sclerosis, due to SOD1 deficiency, 105400 (3)  "
"504","ENSP00000270176","Geroderma osteodysplasticum, 231070 (3)  "
"505","ENSP00000270202","Breast cancer, somatic, 114480 (3)  "
"506","ENSP00000270202","Colorectal cancer, somatic, 114500 (3)  "
"507","ENSP00000270202","Ovarian cancer, somatic, 604370 (3)  "
"508","ENSP00000270202","{Schizophrenia, susceptibility to}, 181500 (2)  "
"509","ENSP00000270460","Muscular dystrophy, rigid spine, 1, 602771 (3)  "
"510","ENSP00000270776","Cranioosteoarthropathy, 259100 (3)  "
"511","ENSP00000270776","Digital clubbing, isolated congenital, 119900 (3)  "
"512","ENSP00000270776","Hypertrophic osteoarthropathy, primary, autosomal recessive, 259100 (3)  "
"513","ENSP00000271526","Renal cell carcinoma, papillary, 1, 605074 (3)  "
"514","ENSP00000271588","{Macular degeneration, age-related, 1}, 603075 (3)  "
"515","ENSP00000272167","Diphenylhydantoin toxicity (1)  "
"516","ENSP00000272167","Fetal hydantoin syndrome (1) (?)  "
"517","ENSP00000272167","Hypercholanemia, familial, 607748 (3)  "
"518","ENSP00000272167","{Preeclampsia, susceptibility to}, 189800 (3)  "
"519","ENSP00000273550","Iron overload, autosomal dominant (3)  "
"520","ENSP00000273588","Ectopia lentis, isolated, autosomal recessive, 225100 (3)  "
"521","ENSP00000273588","Ehlers-Danlos syndrome, type VIIC, 225410 (3)  "
"522","ENSP00000273588","GAMT deficiency, 612736 (3)  "
"523","ENSP00000273588","Geleophysic dysplasia, 231050 (3)  "
"524","ENSP00000273588","Glycine encephalopathy, 605899 (3)  "
"525","ENSP00000273588","Thrombotic thrombocytopenic purpura, familial, 274150 (3)  "
"526","ENSP00000273588","Weill-Marchesani syndrome, recessive, 277600 (3)  "
"527","ENSP00000273588","Weill-Marchesani-like syndrome, 613195 (3)  "
"528","ENSP00000273783","Leukoencephalopathy with vanishing white matter, 603896 (3)  "
"529","ENSP00000273783","Ovarioleukodystrophy, 603896 (3)  "
"530","ENSP00000274137","Complex I, mitochondrial respiratory chain, deficiency of, 252010 (3)  "
"531","ENSP00000274376","Basal cell carcinoma, somatic, 605462 (3)  "
"532","ENSP00000274376","Capillary malformation-arteriovenous malformation, 608354 (3)  "
"533","ENSP00000274376","Parkes Weber slndrome, 608355 (3)  "
"534","ENSP00000274498","Leukemia, juvenile myelomonocytic, 607785 (3)  "
"535","ENSP00000274606","Dyskeratosis congenita, 224230 (3)  "
"536","ENSP00000274695","{Diabetes mellitus, noninsulin-dependent, susceptibility to}, 125853 (3)  "
"537","ENSP00000274793","Platelet-activating factor acetylhydrolase deficiency (3)  "
"538","ENSP00000274793","{Asthma, susceptibility to}, 600807 (3)  "
"539","ENSP00000274793","{Atopy, susceptibility to}, 147050 (3)  "
"540","ENSP00000274813","Adenomas, multiple colorectal, 608456 (3)  "
"541","ENSP00000274813","Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, 132600 (3)  "
"542","ENSP00000274813","Gastric cancer, somatic, 137215 (3)  "
"543","ENSP00000274813","Methylmalonic aciduria, mut(0) type, 251000 (3)  "
"544","ENSP00000276072","Chondrosarcoma, extraskeletal myxoid, 612237 (1)  "
"545","ENSP00000276072","Dystonia-Parkinsonism, X-linked, 314250 (3)  "
"546","ENSP00000276201","Mental retardation, X-linked, syndromic 14, 300676 (3)  "
"547","ENSP00000276449","Lipoid adrenal hyperplasia, 201710 (3)  "
"548","ENSP00000276449","STAR syndrome, 300707 (3)  "
"549","ENSP00000276651","Dihydropyrimidinuria, 222748 (3)  "
"550","ENSP00000277865","Hyperinsulinism-hyperammonemia syndrome, 606762 (3)  "
"551","ENSP00000279146","Autoimmune disease, syndromic multisystem, 613385 (3)  "
"552","ENSP00000279146","Cone-rod dystrophy (3)  "
"553","ENSP00000279146","Leber congenital amaurosis 4, 604393 (3)  "
"554","ENSP00000279146","Pituitary adenoma, ACTH-secreting, 219090 (3)  "
"555","ENSP00000279146","Pituitary adenoma, growth hormone-secreting, 102200 (3)  "
"556","ENSP00000279146","Pituitary adenoma, prolactin-secreting, 600634 (3)  "
"557","ENSP00000279146","Retinitis pigmentosa, juvenile (3)  "
"558","ENSP00000279247","{Diabetes mellitus, noninsulin-dependent 1}, 601283 (3)  "
"559","ENSP00000280326","Neuropathy, hereditary sensory, with spastic paraplegia, 256840 (3)  "
"560","ENSP00000280346","Pyruvate dehydrogenase E2 deficiency, 245348 (3)  "
"561","ENSP00000280362","Adrenoleukodystrophy, neonatal, 202370 (3)  "
"562","ENSP00000280362","Hyperphenylalaninemia, BH4-deficient, A, 261640 (3)  "
"563","ENSP00000280362","Molybdenum cofactor deficiency, type B, 252150 (3)  "
"564","ENSP00000280362","Zellweger syndrome, 214100 (3)  "
"565","ENSP00000281092","Leukocyte adhesion deficiency, type III, 612840 (3)  "
"566","ENSP00000281092","Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay, 613076 (3)  "
"567","ENSP00000281182","Isobutyryl-CoA dehydrogenase deficiency, 611283 (3)  "
"568","ENSP00000281243","Hyperphenylalaninemia, BH4-deficient, C, 261630 (3)  "
"569","ENSP00000281317","Methylmalonic aciduria, vitamin B12-responsive, 251100 (3)  "
"570","ENSP00000281456","Cardiomyopathy, familial hypertrophic, 192600 (3)  "
"571","ENSP00000281456","Progressive external ophthalmoplegia with mitochondrial DNA deletions 3, 609283 (3)  "
"572","ENSP00000281928","Transposition of the great arteries, dextro-looped 1, 608808 (3)  "
"573","ENSP00000282516","Cornelia de Lange syndrome 1, 122470 (3)  "
"574","ENSP00000282673","Cholesteryl ester storage disease, 278000 (3)  "
"575","ENSP00000282673","Wolman disease, 278000 (3)  "
"576","ENSP00000283646","Ribose 5-phosphate isomerase deficiency, 608611 (3)  "
"577","ENSP00000284384","Pituitary tumor, invasive (3)  "
"578","ENSP00000284440","{Parkinson disease 5, susceptibility to}, 613643 (3)  "
"579","ENSP00000284440","{Parkinson disease, resistance to}, 613643 (3)  "
"580","ENSP00000285021","Allan-Herndon-Dudley syndrome, 300523 (3)  "
"581","ENSP00000285021","Ataxia, posterior column, with retinitis pigmentosa, 609033 (3)  "
"582","ENSP00000285021","Xeroderma pigmentosum, group C, 278720 (3)  "
"583","ENSP00000285039","Microvillus inclusion disease, 251850 (3)  "
"584","ENSP00000285071","Birt-Hogg-Dube syndrome, 135150 (3)  "
"585","ENSP00000285071","Colorectal cancer, somatic, 114500 (3)  "
"586","ENSP00000285071","Pneumothorax, primary spontaneous, 173600 (3)  "
"587","ENSP00000285071","Renal carcinoma, chromophobe, somatic, 144700 (3)  "
"588","ENSP00000285398","Trichothiodystrophy, 601675 (3)  "
"589","ENSP00000285398","Xeroderma pigmentosum, group B, 610651 (3)  "
"590","ENSP00000286186","Autoimmune lymphoproliferative syndrome, type II, 603909 (3)  "
"591","ENSP00000286186","Gastric cancer, somatic, 137215 (3)  "
"592","ENSP00000286186","Non-Hodgkin lymphoma, somatic, 605027 (3)  "
"593","ENSP00000286298","Achondrogenesis Ib, 600972 (3)  "
"594","ENSP00000286298","Atelosteogenesis II, 256050 (3)  "
"595","ENSP00000286298","De la Chapelle dysplasia, 256050 (3)  "
"596","ENSP00000286298","Diastrophic dysplasia, 222600 (3)  "
"597","ENSP00000286298","Diastrophic dysplasia, broad bone-platyspondylic variant, 222600 (3)  "
"598","ENSP00000286298","Epiphyseal dysplasia, multiple, 4, 226900 (3)  "
"599","ENSP00000286452","Spastic paraplegia 10, 604187 (3)  "
"600","ENSP00000286548","Bleeding diathesis due to GNAQ deficiency (1)  "
"601","ENSP00000287022","Mitochondrial complex III deficiency, 124000 (3)  "
"602","ENSP00000287295","Combined oxidative phosphorylation deficiency 6, 300816 (3)  "
"603","ENSP00000287538","Congenital heart defects, nonsyndromic, 1, X-linked, 306955 (3)  "
"604","ENSP00000287538","Heterotaxy, visceral, 1, X-linked 306955 (3)  "
"605","ENSP00000287647","Fanconi anemia, complementation group D2 (3)  "
"606","ENSP00000287766","Hartnup disorder, 234500 (3)  "
"607","ENSP00000287766","Hyperglycinuria, 138500 (3)  "
"608","ENSP00000287766","Iminoglycinuria, digenic, 242600 (3)  "
"609","ENSP00000287766","{Obesity, susceptibility to, BMIQ11}, 300306 (3)  "
"610","ENSP00000287878","Cardiomyopathy, hypertrophic 6, with WPW, 600858 (3)  "
"611","ENSP00000287878","Glycogen storage disease of heart, lethal congenital, 261740 (3)  "
"612","ENSP00000287878","Wolff-Parkinson-White syndrome, 194200 (3)  "
"613","ENSP00000287936","[Low density lipoprotein cholesterol level QTL 3] (3)  "
"614","ENSP00000287936","[Statins, attenuated cholesterol lowering by] (3)  "
"615","ENSP00000288221","[Skin/hair/eye pigmentation 1, blond/brown hair], 227220 (3)  "
"616","ENSP00000288221","[Skin/hair/eye pigmentation 1, blue/nonblue eyes], 227220 (3)  "
"617","ENSP00000288602","Adenocarcinoma of lung, somatic, 211980 (3)  "
"618","ENSP00000288602","Cardiofaciocutaneous syndrome, 115150 (3)  "
"619","ENSP00000288602","Colorectal cancer, somatic (3)  "
"620","ENSP00000288602","LEOPARD syndrome 3, 613707 (3)  "
"621","ENSP00000288602","Melanoma, malignant, somatic (3)  "
"622","ENSP00000288602","Nonsmall cell lung cancer, somatic (3)  "
"623","ENSP00000288602","Noonan syndrome 7, 613706 (3)  "
"624","ENSP00000289004","Hawkinsinuria, 140350 (3)  "
"625","ENSP00000289004","Hypophosphatemic rickets, X-linked dominant, 307800 (3)  "
"626","ENSP00000289004","Hypophosphatemic rickets, autosomal dominant, 193100 (3)  "
"627","ENSP00000289004","Meckel syndrome 7, 267010 (3)  "
"628","ENSP00000289004","Nephronophthisis 3, 604387 (3)  "
"629","ENSP00000289004","Osteomalacia, tumor-induced (1)  "
"630","ENSP00000289004","Renal-hepatic-pancreatic dysplasia, 208540 (3)  "
"631","ENSP00000289004","Tumoral calcinosis, hyperphosphatemic, familial, 211900 (3)  "
"632","ENSP00000289004","Tyrosinemia, type III, 276710 (3)  "
"633","ENSP00000290167","Mullerian aplasia and hyperandrogenism, 158330 (3)  "
"634","ENSP00000290167","SERKAL syndrome, 611812 (3)  "
"635","ENSP00000290846","Liver failure, acute infantile, 613070 (3)  "
"636","ENSP00000290846","{Deafness, mitochondrial, modifier of}, 580000 (3)  "
"637","ENSP00000291554","Cataract, autosomal dominant nuclear (3)  "
"638","ENSP00000291554","Cataract, congenital, autosomal recessive (3)  "
"639","ENSP00000291554","Cataract, zonular central nuclear, autosomal dominant (3)  "
"640","ENSP00000292147","Ethylmalonic encephalopathy, 602473 (3)  "
"641","ENSP00000293217","Peroxisomal acyl-CoA oxidase deficiency, 264470 (3)  "
"642","ENSP00000293328","Growth hormone insensitivity with immunodeficiency, 245590 (3)  "
"643","ENSP00000293328","Leukemia, acute promyelocytic, STAT5B/RARA type (3)  "
"644","ENSP00000293970","Myoclonic epilepsy, infantile, familial, 605021 (3)  "
"645","ENSP00000294785","Acne inversa, familial, 1, 142690 (3)  "
"646","ENSP00000295030","Adrenoleukodystrophy, neonatal, 202370 (3)  "
"647","ENSP00000295030","Zellweger syndrome, 214100 (3)  "
"648","ENSP00000295240","Bardet-Biedl syndrome 5, 209900 (3)  "
"649","ENSP00000295731","Acrocapitofemoral dysplasia, 607778 (3)  "
"650","ENSP00000295731","Brachydactyly, type A1, 112500 (3)  "
"651","ENSP00000295777","Encephalopathy, familial, with neuroserpin inclusion bodies, 604218 (3)  "
"652","ENSP00000295887","Li-Fraumeni syndrome, 609265 (3)  "
"653","ENSP00000295887","Osteosarcoma, somatic, 259500 (3)  "
"654","ENSP00000295887","{Breast and colorectal cancer, susceptibility to} (3)  "
"655","ENSP00000295887","{Breast cancer, susceptibility to}, 114480 (3)  "
"656","ENSP00000295887","{Prostate cancer, familial, susceptibility to}, 176807 (3)  "
"657","ENSP00000295920","Leukemia, acute myelogenous, 601626 (3)  "
"658","ENSP00000296266","Cranioectodermal dysplasia, 218330 (3)  "
"659","ENSP00000296289","Spondylometaepiphyseal dysplasia, short limb-hand type, 271665 (3)  "
"660","ENSP00000296292","Congenital disorder of glycosylation, type In, 612015 (3)  "
"661","ENSP00000296468","Ceroid lipofuscinosis, neuronal, 7, 610951 (3)  "
"662","ENSP00000296684","Leigh syndrome, 256000 (3)  "
"663","ENSP00000296684","Mitochondrial complex I deficiency, 252010 (3)  "
"664","ENSP00000296795","{Herpes simplex encephalitis, susceptibility to, 2}, 613002 (3)  "
"665","ENSP00000297135","Congenital disorder of glycosylation, type IIi, 613612 (3)  "
"666","ENSP00000297261","Coloboma, ocular, 120200 (3)  "
"667","ENSP00000297261","Holoprosencephaly-3, 142945 (3)  "
"668","ENSP00000297261","Microphthalmia with coloboma 5, 611638 (3)  "
"669","ENSP00000297261","Solitary median maxillary central incisor, 147250 (3)  "
"670","ENSP00000297518","Microcephaly, primary autosomal recessive, 3, 604804 (3)  "
"671","ENSP00000297991","[Blood group GIL], 607457 (3)  "
"672","ENSP00000298139","Werner syndrome, 277700 (3)  "
"673","ENSP00000298352","Achromatopsia-3, 262300 (3)  "
"674","ENSP00000298352","Galactosialidosis, 256540 (3)  "
"675","ENSP00000298352","Macular degeneration, juvenile, 248200 (3)  "
"676","ENSP00000298352","Retinitis pigmentosa-45, 268000 (3)  "
"677","ENSP00000298854","Fetal akinesia deformation sequence, 208150 (3)  "
"678","ENSP00000298854","Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency, 608931 (3)  "
"679","ENSP00000298854","Myasthenic syndrome, congenital, associated with facial dysmorphism and acetylcholine receptor deficiency, 608931 (3)  "
"680","ENSP00000299198","[Creatine kinase, brain type, ectopic expression of] (2)  "
"681","ENSP00000299259","Microphthalmia, syndromic 2, 300166 (3)  "
"682","ENSP00000299328","Barth syndrome, 302060 (3)  "
"683","ENSP00000299328","Cardiomyopathy, dilated, 3A, 300069 (3)  "
"684","ENSP00000299328","Endocardial fibroelastosis-2 (2)  "
"685","ENSP00000299328","Left ventricular noncompaction, X-linked, 300183 (3)  "
"686","ENSP00000299543","Congenital cataracts, facial dysmorphism, and neuropathy, 604168 (3)  "
"687","ENSP00000299626","Congenital disorder of glycosylation, type Ih, 608104 (3)  "
"688","ENSP00000299886","Congenital disorder of glycosylation, type IIg, 611209 (3)  "
"689","ENSP00000299964","Homocysteine plasma level (2)  "
"690","ENSP00000300026","Osteogenesis imperfecta, type IX, 259440 (3)  "
"691","ENSP00000300061","Bronchiectasis with or without elevated sweat chloride 3, 613071 (3)  "
"692","ENSP00000300061","Liddle syndrome, 177200 (3)  "
"693","ENSP00000300061","Pseudohypoaldosteronism, type I, 264350 (3)  "
"694","ENSP00000300408","Prostate cancer, progression and metastasis of, 603688 (3)  "
"695","ENSP00000300408","{Breast cancer, susceptibility to}, 114480 (3)  "
"696","ENSP00000300408","{Carotid stenosis, susceptibility to} (3)  "
"697","ENSP00000300408","{Venous thromboembolism, susceptibility to}, 188050 (3)  "
"698","ENSP00000300456","Ichthyosis prematurity syndrome, 608649 (3)  "
"699","ENSP00000300737","Immune dysfunction, with T-cell inactivation due to calcium entry defect 2, 612783 (3)  "
"700","ENSP00000301012","Cardiac valvular dysplasia-1 (2)  "
"701","ENSP00000301067","Kabuki syndrome, 147920 (3)  "
"702","ENSP00000301071","Lissencephaly 3, 611603 (3)  "
"703","ENSP00000301141","Coumarin resistance, 122700 (3)  "
"704","ENSP00000301141","{Lung cancer, resistance to}, 211980 (3)  "
"705","ENSP00000301141","{Nicotine addiction, protection from}, 188890 (3)  "
"706","ENSP00000301149","Brugada syndrome 2, 611777 (3)  "
"707","ENSP00000301455","{Reduced triglycerides, susceptibility to} (3)  "
"708","ENSP00000301634","Male infertility with large-headed, multiflagellar, polyploid spermatozoa, 243060 (3)  "
"709","ENSP00000301634","Melanoma, malignant sporadic (3)  "
"710","ENSP00000301634","Pancreatic cancer, sporadic (3)  "
"711","ENSP00000301634","Peutz-Jeghers syndrome, 175200 (3)  "
"712","ENSP00000301634","Testicular tumor, sporadic, 273300 (3)  "
"713","ENSP00000301634","{Colon cancer, susceptibility to}, 114500 (3)  "
